bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,rule,rule_size
46,28,0.6086956521739131,46.0,12.57,0.2732608695652174,11.958599999999997,0.25996956521739123,-9.52,2.506521739130435,0.5311083866843971,0.062402369925024105,0.003843283161375971,0.45652173913043476,0.0249015618849538,round=SF & edge_bucket=5-7.5%,2
61,20,0.32786885245901637,61.0,16.95,0.2778688524590164,15.791,0.2588688524590164,-11.6,3.9619672131147543,0.3089865782327689,0.06431692875137908,0.014356332832252372,1.0,0.017347143316388994,surface=Hard & odds_bucket=3-5 & clv_bucket=0-2.5%,3
41,30,0.7317073170731707,41.0,10.88,0.2653658536585366,10.442400000000001,0.2546926829268293,-3.01,1.746341463414634,0.6361088433676175,0.08976747859804031,0.011354956909887899,1.0,0.035695632772987124,surface=Hard & odds_bucket=1.5-2 & clv_bucket=0-2.5%,3
89,23,0.25842696629213485,89.0,24.43,0.2744943820224719,22.6214,0.2541730337078652,-15.73,10.820449438202248,0.32441317861115654,0.08470039861066486,0.37228806897478484,0.6179775280898876,0.03644595516902838,model_type=top_10 & round=R128,2
89,23,0.25842696629213485,89.0,24.43,0.2744943820224719,22.6214,0.2541730337078652,-15.73,10.820449438202248,0.32441317861115654,0.08470039861066486,0.37228806897478484,0.6179775280898876,0.03644595516902838,model_type=top_10 & tournament_importance=5 & round=R128,3
61,42,0.6885245901639344,61.0,15.99,0.2621311475409836,15.290200000000002,0.2506590163934427,-6.31,2.15,0.7043455994837281,0.08666467535417112,0.0033831028968689305,0.5081967213114754,0.05811729949004173,model_type=top_10 & round=QF & edge_bucket=7.5-10%,3
50,11,0.22,50.0,13.51,0.2702,12.459799999999998,0.24919599999999995,-16.0,8.81,0.21124548711795632,0.04882129259909043,0.11900935895025673,1.0,0.01276619564353508,surface=Hard & round=R32 & clv_bucket=5%+,3
55,40,0.7272727272727273,55.0,14.280000000000001,0.25963636363636367,13.694400000000002,0.24898909090909094,-2.2799999999999994,1.7469090909090905,0.639538339526848,0.09246214790109468,0.011927664175271658,1.0,0.0380216402169627,model_type=top_10 & odds_bucket=1.5-2 & clv_bucket=0-2.5%,3
74,48,0.6486486486486487,74.0,19.33,0.2612162162162162,18.4234,0.24896486486486488,-4.970000000000001,2.3898648648648644,0.6507424395201327,0.13281949905696697,0.012395078221580704,1.0,0.07607835764730067,surface=Hard & edge_bucket=10%+ & clv_bucket=0-2.5%,3
62,45,0.7258064516129032,62.0,16.03,0.2585483870967742,15.369400000000002,0.24789354838709682,-2.6099999999999994,1.7491935483870966,0.6359524928130085,0.08962605220649807,0.011965447665323746,1.0,0.0362202859986361,odds_bucket=1.5-2 & clv_bucket=0-2.5%,2
