tourney_date,match_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,closing_odds,execution_odds_source,closing_odds_source,friction_bps,friction_adjusted_odds,clv,market_probability,market_overround,edge,ev,friction_adjusted_ev,fractional_kelly_25,edge_trust_probability,accepted_by_strategy,won,stake,profit,friction_adjusted_profit,profit_metric,odds_bucket,probability_bucket,edge_bucket,clv_bucket,cluster
2022-08-15,2022-08-18,Cincinnati Masters,R16,Hard,4,Diego Schwartzman,Stefanos Tsitsipas,player2,top_10,0.3085082673753254,3.75,3.83,B365W/B365L,AvgW/AvgL,200.0,3.695,-0.02088772845953,0.2544731610337972,1.0479166666666666,0.0540351063415281,0.1569060026574704,0.1399380479518274,0.01426418205977,,True,False,1.0,-1.0,-1.0,-1.0,3-5,25-40%,5-7.5%,-5-0%,0
2022-08-15,2022-08-18,Cincinnati Masters,R16,Hard,4,Denis Shapovalov,Daniil Medvedev,player2,top_10,0.2485929955088078,4.33,4.23,B365W/B365L,AvgW/AvgL,200.0,4.2634,0.023640661938534,0.2198198198198198,1.0506190133646311,0.028773175688988,0.0764076705531381,0.0598513770522514,0.0057363116030884,,True,False,1.0,-1.0,-1.0,-1.0,3-5,0-25%,<=3%,0-2.5%,0
2022-08-15,2022-08-19,Cincinnati Masters,QF,Hard,4,Stefanos Tsitsipas,John Isner,player2,top_10,0.7727659460215206,1.36,1.31,B365W/B365L,AvgW/AvgL,200.0,1.3528000000000002,0.0381679389312976,0.7017543859649122,1.0477941176470589,0.0710115600566083,0.050961686589268,0.0453977717779132,0.0353900601314361,,True,True,1.0,0.3600000000000001,0.3528000000000002,0.3528000000000002,1-1.5,75-100%,5-7.5%,2.5-5%,3
2022-08-15,2022-08-20,Cincinnati Masters,QF,Hard,4,Carlos Alcaraz,Cameron Norrie,player1,top_10,0.8004349233298833,1.3,1.3,B365W/B365L,AvgW/AvgL,200.0,1.294,0.0,0.7291666666666667,1.0549450549450547,0.0712682566632165,0.0405654003288483,0.035762790788869,0.0338045002740402,,True,False,1.0,-1.0,-1.0,-1.0,1-1.5,75-100%,5-7.5%,-5-0%,3
2022-08-29,2022-08-29,Us Open,R128,Hard,5,Kyle Edmund,Casper Ruud,player1,top_10,0.1440454408169665,9.0,9.99,B365W/B365L,AvgW/AvgL,200.0,8.84,-0.099099099099099,0.1062562065541211,1.0456905503634475,0.0377892342628453,0.2964089673526989,0.2733616968219842,0.0092627802297718,,True,False,1.0,-1.0,-1.0,-1.0,5-10,0-25%,3-5%,<-5%,2
2022-08-29,2022-09-04,Us Open,R16,Hard,5,Karen Khachanov,Pablo Carreno Busta,player1,other,0.3827019263850963,2.75,2.73,B365W/B365L,AvgW/AvgL,200.0,2.715,0.0073260073260073,0.3436754176610979,1.058080808080808,0.0390265087239984,0.0524302975590149,0.0390357301355365,0.0074900425084307,,True,True,1.0,1.75,1.715,1.715,2-3,25-40%,3-5%,0-2.5%,0
2022-08-29,2022-09-04,Us Open,R16,Hard,5,Corentin Moutet,Casper Ruud,player1,top_10,0.2144392234397632,5.0,5.23,B365W/B365L,AvgW/AvgL,200.0,4.92,-0.0439770554493308,0.1883116883116883,1.0620689655172415,0.0261275351280749,0.072196117198816,0.0550409793236349,0.004512257324926,,True,False,1.0,-1.0,-1.0,-1.0,3-5,0-25%,<=3%,-5-0%,0
2022-08-29,2022-09-05,Us Open,R16,Hard,5,Daniil Medvedev,Nick Kyrgios,player2,top_10,0.7257519753287293,1.53,1.53,B365W/B365L,AvgW/AvgL,200.0,1.5194,0.0,0.6203473945409429,1.05359477124183,0.1054045807877863,0.1104005222529557,0.1027075513144712,0.052075718043847,,True,False,1.0,-1.0,-1.0,-1.0,1.5-2,60-75%,10%+,-5-0%,3
2022-08-29,2022-09-06,Us Open,R16,Hard,5,Marin Cilic,Carlos Alcaraz,player2,top_10,0.267740581256117,4.5,4.68,B365W/B365L,AvgW/AvgL,200.0,4.43,-0.0384615384615384,0.2105263157894736,1.0555555555555556,0.0572142654666433,0.2048326156525265,0.1860907749645982,0.0146309011180376,,True,False,1.0,-1.0,-1.0,-1.0,3-5,25-40%,5-7.5%,-5-0%,0
2022-09-19,2022-09-22,Metz,R16,Hard,3,Dominic Thiem,Hubert Hurkacz,player2,top_10,0.4832955958962829,3.0,2.98,B365W/B365L,AvgW/AvgL,200.0,2.96,0.0067114093959732,0.3181818181818181,1.0476190476190477,0.1651137777144647,0.4498867876888487,0.4305549638529974,0.056235848461106,,True,False,1.0,-1.0,-1.0,-1.0,2-3,40-50%,10%+,0-2.5%,1
2022-09-19,2022-09-22,Metz,R16,Hard,3,Stan Wawrinka,Daniil Medvedev,player2,top_10,0.242996669852525,6.0,6.0,B365W/B365L,AvgW/AvgL,200.0,5.9,0.0,0.1573033707865168,1.0595238095238095,0.0856932990660081,0.4579800191151499,0.4336803521298975,0.0228990009557574,,True,True,1.0,5.0,4.9,4.9,5-10,0-25%,7.5-10%,-5-0%,1
2022-09-19,2022-09-23,Metz,QF,Hard,3,Arthur Rinderknech,Hubert Hurkacz,player2,top_10,0.2754314448692684,4.33,4.02,B365W/B365L,AvgW/AvgL,200.0,4.2634,0.0771144278606965,0.2198198198198198,1.0506190133646311,0.0556116250494486,0.1926181562839322,0.1742744220556389,0.0144608225438387,,True,False,1.0,-1.0,-1.0,-1.0,3-5,25-40%,5-7.5%,5%+,0
2022-09-26,2022-09-29,Tel Aviv,R16,Hard,3,Pablo Andujar,Novak Djokovic,player1,top_10,0.0985785150930249,15.0,12.64,B365W/B365L,AvgW/AvgL,200.0,14.72,0.1867088607594935,0.0642545227698066,1.0375404530744337,0.0343239923232183,0.4786777263953745,0.4510757421693274,0.0085478165427745,,True,False,1.0,-1.0,-1.0,-1.0,10+,0-25%,3-5%,5%+,2
