bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,edge_threshold,model_type,max_odds,exclude_slams,surface,min_edge_trust
93,49,0.5268817204301075,93.0,8.45,0.09086021505376343,7.400999999999995,0.07958064516129028,-5.890000000000001,2.184086021505376,0.548709789846231,0.08793266424865488,0.0,0.0,0.0342769548626666,0.075,top_10,3.0,True,,
70,18,0.2571428571428571,70.0,6.619999999999999,0.09457142857142856,5.447600000000003,0.0778228571428572,-16.950000000000003,4.295285714285714,0.3618497134733933,0.06649419199880553,0.0,0.0,0.021025570675185203,0.075,top_10,,True,Clay,
67,21,0.31343283582089554,67.0,6.210000000000001,0.09268656716417911,5.165800000000002,0.07710149253731347,-10.129999999999999,4.150597014925373,0.3363510354511981,0.06222360817853494,0.0,0.0,0.018465155568793277,0.075,,10.0,False,Grass,
23,9,0.391304347826087,23.0,2.0300000000000002,0.0882608695652174,1.7093999999999987,0.07432173913043473,-5.32,2.8973913043478268,0.434365030582563,0.05562757976316656,0.0,0.0,0.026329199392335453,0.075,other,5.0,True,Clay,
125,50,0.4,125.0,11.0,0.088,9.279999999999998,0.07423999999999999,-12.84,3.63784,0.40725591520581605,0.069617685801003,0.0,0.0,0.024382703823678527,0.075,top_10,10.0,True,Hard,
566,133,0.23498233215547704,566.0,49.709999999999994,0.0878268551236749,40.05579999999999,0.07076996466431094,-84.05000000000001,7.1009010600706715,0.2963247820939011,0.0515164688258678,0.0,0.0,0.015776553892576345,0.075,,,False,,
26,12,0.46153846153846156,26.0,2.1400000000000006,0.08230769230769233,1.8172000000000001,0.0698923076923077,-5.879999999999999,2.405769230769231,0.5170855983114859,0.08894406202380267,0.0,0.0,0.04065944934226097,0.1,,3.0,False,Clay,
113,59,0.5221238938053098,113.0,9.139999999999997,0.08088495575221236,7.877199999999995,0.0697097345132743,-5.890000000000001,2.17212389380531,0.5522476152261157,0.08853111396904843,0.0,0.0,0.03490988626752824,0.075,top_10,3.0,False,,
40,22,0.55,40.0,3.14,0.0785,2.7171999999999983,0.06792999999999996,-5.68,2.05775,0.5570821110790025,0.060075027381379306,0.0,0.0,0.01932025423128813,0.01,top_10,3.0,False,Grass,
68,25,0.36764705882352944,68.0,5.450000000000001,0.08014705882352943,4.481,0.0658970588235294,-8.44,3.199705882352941,0.39491657118243734,0.061837021779195846,0.0,0.0,0.0181857960025088,0.03,top_10,5.0,False,Grass,
200,88,0.44,200.0,15.330000000000002,0.07665000000000001,12.783399999999999,0.06391699999999999,-11.85,2.8150999999999997,0.42445082002145673,0.037076823497317425,0.0,0.0,0.008577700368302806,0.01,other,10.0,True,Clay,
337,145,0.43026706231454004,337.0,25.200000000000003,0.07477744807121663,20.855999999999995,0.06188724035608307,-25.92000000000001,3.7699406528189914,0.44599960880248257,0.05268062204666837,0.0,0.0,0.01809400562078426,0.02,top_10,,True,Hard,
